	premise	hypothesis	gold_label_x	__index_level_0__	label	filename	determiner	monotonicity	gold_label_y	replace_target	replace_source	replace_mode	ori_sentence	new_sentence	Exist
14312	In many countries it is normal for all television programmes to have subtitles .	In many countries it is normal for all television Superfund programs to have subtitles .	entailment	17066	0	silver/p04/d1976	all	downward_monotone	entailment	programmes	Superfund programs	noun_hyponym_obj	In many countries it is normal for all television programmes to have subtitles .	In many countries it is normal for all television Superfund programs to have subtitles .	True
5280	Hey , I may have no big money , but I still have my pride .	Hey , I may have no money , but I still have my pride .	neutral	6885	1	silver/p16/d0768	no	downward_monotone	neutral	money	big money	noun_hypernym_obj	Hey , I may have no big money , but I still have my pride .	Hey , I may have no money , but I still have my pride .	True
4084	There is no more butter in the refrigerator .	There is no more butter in the fridge .	entailment	5444	0	silver/p10/d2909	no	downward_monotone	entailment	fridge	refrigerator	noun_hypernym_obj	There is no more butter in the refrigerator .	There is no more butter in the fridge .	True
12195	The name of this statesman is known to every body in Japan .	The name of this statesman is known to every Ary in Japan .	entailment	14874	0	silver/p02/d3049	every	downward_monotone	entailment	body	Ary	noun_hyponym_obj	The name of this statesman is known to every body in Japan .	The name of this statesman is known to every Ary in Japan .	True
9982	There is an exception to every direction .	There is an exception to every rule .	entailment	12558	0	silver/p39/d3384	every	downward_monotone	entailment	rule	direction	noun_hypernym_obj	There is an exception to every direction .	There is an exception to every rule .	True
4592	I have no truth .	I have no hesitation in telling the truth .	entailment	6027	0	silver/p12/d1646	no	downward_monotone	entailment	no hesitation in telling the truth	no truth	simple	I have no truth .	I have no hesitation in telling the truth .	True
17776	I thank you in advance for your kind cooperation and remain at your disposal for any information if necessary .	I thank you in advance for your kind cooperation and remain at your disposal for any evidence if necessary .	entailment	20942	0	silver/p56/d2146	any	downward_monotone	entailment	information	evidence	noun_hyponym_obj	I thank you in advance for your kind cooperation and remain at your disposal for any information if necessary .	I thank you in advance for your kind cooperation and remain at your disposal for any evidence if necessary .	True
1707	There was no furniture in that room .	There was no dining-room furniture in that room .	entailment	2019	0	silver/p20/d2118	no	downward_monotone	entailment	furniture	dining-room furniture	noun_hyponym_obj	There was no furniture in that room .	There was no dining-room furniture in that room .	True
1289	God surveyed the people , and there was no fragrance of virtue arising from them , but the rank odour of punishments .	God surveyed the people , and there was no fragrance of virtue arising from them , but the rank odour of cruel and unusual punishments .	entailment	1499	0	silver/p22/d1903	no	downward_monotone	entailment	punishments	cruel and unusual punishments	noun_hyponym_obj	God surveyed the people , and there was no fragrance of virtue arising from them , but the rank odour of punishments .	God surveyed the people , and there was no fragrance of virtue arising from them , but the rank odour of cruel and unusual punishments .	True
12772	The name of this statesman is known to every loved one in Japan .	The name of this statesman is known to every body in Japan .	neutral	15429	1	silver/p02/d3049	every	downward_monotone	neutral	body	loved one	noun_hypernym_obj	The name of this statesman is known to every loved one in Japan .	The name of this statesman is known to every body in Japan .	True
13384	The name of this statesman is known to every worker in Japan .	The name of this statesman is known to every body in Japan .	neutral	16020	1	silver/p02/d3049	every	downward_monotone	neutral	body	worker	noun_hypernym_obj	The name of this statesman is known to every worker in Japan .	The name of this statesman is known to every body in Japan .	True
