	premise	hypothesis	gold_label_x	__index_level_0__	label	filename	determiner	monotonicity	gold_label_y	replace_target	replace_source	replace_mode	ori_sentence	new_sentence	Exist
22509	There are some things we can change if we only worst .	There are some things we can change if we only try .	entailment	25949	0	silver/p53/d2178	some	upward_monotone	entailment	try	worst	noun_hypernym_obj	There are some things we can change if we only worst .	There are some things we can change if we only try .	True
24203	Brian took some roses .	Brian took some Rosa pendulinas .	neutral	27917	1	gold/p84/d0784	some	upward_monotone	neutral	roses	Rosa pendulinas	noun_hyponym_obj	Brian took some roses .	Brian took some Rosa pendulinas .	True
19676	Even though America is a developed country , it still has some very poor Dorians .	Even though America is a developed country , it still has some very poor people .	entailment	23054	0	silver/p17/d1903	some	upward_monotone	entailment	people	Dorians	noun_hypernym_obj	Even though America is a developed country , it still has some very poor Dorians .	Even though America is a developed country , it still has some very poor people .	True
21357	Tom bought some flowers for Mary .	Tom bought some Malcolmia maritimas for Mary .	neutral	24699	1	silver/p12/d2031	some	upward_monotone	neutral	flowers	Malcolmia maritimas	noun_hyponym_obj	Tom bought some flowers for Mary .	Tom bought some Malcolmia maritimas for Mary .	True
19487	I was buying some books from the bookstore .	I was buying some softback books from the softback bookstore .	neutral	22852	1	silver/p34/d2063	some	upward_monotone	neutral	books	softback books	noun_hyponym_obj	I was buying some books from the bookstore .	I was buying some softback books from the softback bookstore .	True
22806	There are some foreign workers in my company as well .	There are some foreign workers in my search party as well .	neutral	26282	1	silver/p86/d0802	some	upward_monotone	neutral	company	search party	noun_hyponym_obj	There are some foreign workers in my company as well .	There are some foreign workers in my search party as well .	True
24221	Brian took some baby roses .	Brian took some roses .	entailment	27926	0	gold/p84/d0784	some	upward_monotone	entailment	roses	baby roses	noun_hypernym_obj	Brian took some baby roses .	Brian took some roses .	True
24589	Tom bought some Holocentrus ascensioniss for his aquarium .	Tom bought some squirrelfish for his aquarium .	entailment	28336	0	gold/p12/d2381	some	upward_monotone	entailment	squirrelfish	Holocentrus ascensioniss	noun_hypernym_obj	Tom bought some Holocentrus ascensioniss for his aquarium .	Tom bought some squirrelfish for his aquarium .	True
23553	Tom gave some candy to his grandchildren .	Tom gave some nougat to his grandchildren .	neutral	27066	1	silver/p43/d1650	some	upward_monotone	neutral	candy	nougat	noun_hyponym_obj	Tom gave some candy to his grandchildren .	Tom gave some nougat to his grandchildren .	True
20859	Tom bought some ammobiums for Mary .	Tom bought some flowers for Mary .	entailment	24239	0	silver/p12/d2031	some	upward_monotone	entailment	flowers	ammobiums	noun_hypernym_obj	Tom bought some ammobiums for Mary .	Tom bought some flowers for Mary .	True
20906	Tom bought some flowers for Mary .	Tom bought some Cotula coronopifolias for Mary .	neutral	24286	1	silver/p12/d2031	some	upward_monotone	neutral	flowers	Cotula coronopifolias	noun_hyponym_obj	Tom bought some flowers for Mary .	Tom bought some Cotula coronopifolias for Mary .	True
22483	There are some things we can change if we only strain .	There are some things we can change if we only try .	entailment	25931	0	silver/p53/d2178	some	upward_monotone	entailment	try	strain	noun_hypernym_obj	There are some things we can change if we only strain .	There are some things we can change if we only try .	True
22970	There seems to be some genetic problem with this animal .	There seems to be some genetic problem with this stayer .	neutral	26447	1	silver/p44/d2382	some	upward_monotone	neutral	animal	stayer	noun_hyponym_obj	There seems to be some genetic problem with this animal .	There seems to be some genetic problem with this stayer .	True
21225	Tom bought some Schizopetalon walkeris for Mary .	Tom bought some flowers for Mary .	entailment	24575	0	silver/p12/d2031	some	upward_monotone	entailment	flowers	Schizopetalon walkeris	noun_hypernym_obj	Tom bought some Schizopetalon walkeris for Mary .	Tom bought some flowers for Mary .	True
18677	There are some cookies under the table .	There are some cookies under the card table .	neutral	21923	1	silver/p14/d3494	some	upward_monotone	neutral	table	card table	noun_hyponym_obj	There are some cookies under the table .	There are some cookies under the card table .	True
18192	The mice ate some of the bread .	The mice ate some of the bun .	neutral	21433	1	silver/p71/d1944	some	upward_monotone	neutral	bread	bun	noun_hyponym_obj	The mice ate some of the bread .	The mice ate some of the bun .	True
18975	I need to buy some rat poison .	I need to buy some rat substance .	entailment	22297	0	silver/p89/d3316	some	upward_monotone	entailment	poison	substance	noun_hypernym_obj	I need to buy some rat poison .	I need to buy some rat substance .	True
23101	El-Nashar was detained July 14 in Cairo after Britain notified Egyptian authorities that it suspected he may have had links to some of the marauders .	El-Nashar was detained July 14 in Cairo after Britain notified Egyptian authorities that it suspected he may have had links to some of the attackers .	entailment	26601	0	silver/p68/d0719	some	upward_monotone	entailment	attackers	marauders	noun_hypernym_obj	El-Nashar was detained July 14 in Cairo after Britain notified Egyptian authorities that it suspected he may have had links to some of the marauders .	El-Nashar was detained July 14 in Cairo after Britain notified Egyptian authorities that it suspected he may have had links to some of the attackers .	True
22994	Tom asked Mary a lot of questions , but she refused to answer some them .	Tom asked Mary a lot of questions , but she refused to answer some of them .	neutral	26472	1	silver/p07/d2731	some	upward_monotone	neutral	some of them	some them	simple	Tom asked Mary a lot of questions , but she refused to answer some them .	Tom asked Mary a lot of questions , but she refused to answer some of them .	True
20473	I just bought some cardboard .	I just bought some binder board .	neutral	23876	1	silver/p49/d1622	some	upward_monotone	neutral	cardboard	binder board	noun_hyponym_obj	I just bought some cardboard .	I just bought some binder board .	True
24710	Some poems were also written by somebody .	Some poems were also written by him .	neutral	28468	1	gold/p18/d1660	some	upward_monotone	neutral	him	somebody	verb_hypernym	Some poems were also written by somebody .	Some poems were also written by him .	True
24662	I do some work for Tom from~time~to~time .	I do some ministry for Tom from~time~to~time .	neutral	28417	1	gold/p30/d3513	some	upward_monotone	neutral	work	ministry	noun_hyponym_obj	I do some work for Tom from~time~to~time .	I do some ministry for Tom from~time~to~time .	True
22847	I want some pleas and I want them now .	I want some answers and I want them now .	entailment	26331	0	silver/p77/d2035	some	upward_monotone	entailment	answers	pleas	noun_hypernym_obj	I want some pleas and I want them now .	I want some answers and I want them now .	True
22577	I have to say goodbye to some friends .	I have to say goodbye to some Christians .	entailment	26029	0	silver/p18/d2543	some	upward_monotone	entailment	friends	Christians	noun_hypernym_obj	I have to say goodbye to some friends .	I have to say goodbye to some Christians .	True
24115	There are some apples in the basket .	There are some edible fruit in the basket .	entailment	27858	0	gold/p71/d1573	some	upward_monotone	entailment	apples	edible fruit	noun_hypernym_obj	There are some apples in the basket .	There are some edible fruit in the basket .	True
18634	Tom bought a bottle of vodka and some perfume at the duty-free tobacconist .	Tom bought a bottle of vodka and some perfume at the duty-free shop .	entailment	21879	0	silver/p72/d3303	some	upward_monotone	entailment	shop	tobacconist	noun_hypernym_obj	Tom bought a bottle of vodka and some perfume at the duty-free tobacconist .	Tom bought a bottle of vodka and some perfume at the duty-free shop .	True
